term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
lsort,Listen-Operationen / List Operations,"Sort list elements; options include `-ascii`, `-integer`, `-real`, `-increasing`, `-decreasing`.","Listenelemente sortieren; Optionen umfassen `-ascii`, `-integer`, `-real`, `-increasing`, `-decreasing`.",,,,
split,Listen-Operationen / List Operations,"Split string into list using delimiter (e.g., `split ""a,b,c"" "",""` = `a b c`).","String in Liste aufteilen mit Trennzeichen (z.B. `split ""a,b,c"" "",""` = `a b c`).",,,,
lassign,Listen-Subcommands / List Subcommands,"Assign list elements to variables (e.g., `lassign $list var1 var2 var3`).",Listenelemente Variablen zuweisen (z.B. `lassign $list var1 var2 var3`).,,,,
lcontains,Listen-Subcommands / List Subcommands,"Tcl 8.7+ command to test list membership. Syntax: lcontains list element. Returns 1 if the element appears in the list (exact equality), 0 otherwise. Cleaner than `expr {$elem in $list}` for one-off tests; equivalent to `lsearch -exact $list $elem >= 0`.","Tcl-8.7+-Kommando zur Pruefung der Listen-Mitgliedschaft. Syntax: lcontains list element. Liefert 1 wenn das Element in der Liste vorkommt (exakte Gleichheit), 0 sonst. Sauberer als `expr {$elem in $list}` bei einmaligen Tests; aequivalent zu `lsearch -exact $list $elem >= 0`.",,,,
ledit,Listen-Subcommands / List Subcommands,"Tcl 9 list command: in-place edit of a list element. Syntax: ledit listVar first last ?element...?. Combines lreplace and assignment in one operation, avoiding the typical `set list [lreplace $list i j ...]` pattern. Returns the new list. Tcl 9+.",Tcl-9-Listen-Kommando: In-Place-Bearbeitung eines Listen-Elements. Syntax: ledit listVar first last ?element...?. Kombiniert lreplace und Zuweisung in einer Operation; ersetzt das uebliche `set list [lreplace $list i j ...]`-Muster. Liefert die neue Liste. Tcl 9+.,,,,
lmap,Listen-Subcommands / List Subcommands,"Map command over list elements, collecting results (e.g., `lmap x $list {expr {$x * 2}}`).","Befehl über Listenelemente abbilden, Ergebnisse sammeln (z.B. `lmap x $list {expr {$x * 2}}`).",,,,
lpop,Listen-Subcommands / List Subcommands,"Tcl 8.7+ list command: remove and return the last element of a list (or any specified index). Syntax: lpop listVar ?index?. Without index: removes and returns the last element. With index: removes and returns at that index (supports end, end-N).","Tcl-8.7+-Listen-Kommando: Entfernt das letzte Element einer Liste (oder ein angegebener Index) und liefert es zurueck. Syntax: lpop listVar ?index?. Ohne Index: entfernt und liefert das letzte Element. Mit Index: entfernt und liefert an dem Index (unterstuetzt end, end-N).",,,,
lsearch -inline,Listen-Subcommands / List Subcommands,"lsearch option that returns the matching elements themselves instead of their indices. Syntax: lsearch -inline ?-options? list pattern. With -all: returns all matching elements. Combined with -nocase, -exact, -glob, -regexp, -regexp -inline -all is a quick filter.","lsearch-Option die die treffenden Elemente selbst statt ihrer Indices liefert. Syntax: lsearch -inline ?-options? list pattern. Mit -all: liefert alle treffenden Elemente. Kombiniert mit -nocase, -exact, -glob, -regexp; -regexp -inline -all ist ein schneller Filter.",,,,
lset,Listen-Subcommands / List Subcommands,"Set element in list at index to new value (e.g., `lset mylist 2 ""newvalue""`).","Element in Liste an Index auf neuen Wert setzen (z.B. `lset mylist 2 ""newvalue""`).",,,,
lsort -unique,Listen-Subcommands / List Subcommands,"lsort option that removes duplicates after sorting. Syntax: lsort -unique ?-options? list. Combined with -nocase, -decreasing, -dictionary, -integer, -real. Common idiom to dedupe a list: lsort -unique $list. For unsorted dedupe, see lreverse + lsort tricks.","lsort-Option die Duplikate nach dem Sortieren entfernt. Syntax: lsort -unique ?-options? list. Kombiniert mit -nocase, -decreasing, -dictionary, -integer, -real. Idiom zum Deduplizieren: lsort -unique $list. Fuer unsortiertes Dedupe siehe lreverse + lsort-Tricks.",,,,
abs,Math-Funktionen / Math Functions,"Absolute value function (e.g., `expr {abs(-5)}` = 5).",Absolutwert-Funktion (z.B. `expr {abs(-5)}` = 5).,,,,
acos / asin / atan / atan2,Math-Funktionen / Math Functions,"Inverse trigonometric functions; atan2 takes y,x arguments for full circle range.","Inverse trigonometrische Funktionen; atan2 nimmt y,x-Argumente für vollen Kreisbereich.",,,,
ceil / floor,Math-Funktionen / Math Functions,"Round up/down to nearest integer (e.g., `ceil 4.2` = 5, `floor 4.8` = 4).","Auf nächste Ganzzahl auf-/abrunden (z.B. `ceil 4.2` = 5, `floor 4.8` = 4).",,,,
cos / sin / tan,Math-Funktionen / Math Functions,Basic trigonometric functions; arguments in radians.,Grundlegende trigonometrische Funktionen; Argumente in Radiant.,,,,
cosh / sinh / tanh,Math-Funktionen / Math Functions,Hyperbolic trigonometric functions.,Hyperbolische trigonometrische Funktionen.,,,,
exp / log / log10,Math-Funktionen / Math Functions,"Exponential (e^x), natural logarithm, base-10 logarithm functions.","Exponential (e^x), natürlicher Logarithmus, Basis-10-Logarithmus-Funktionen.",,,,
expr division (integer vs floating-point),Math-Funktionen / Math Functions,"In Tcl `expr`, dividing two integers uses integer division (`5/2` → 2); if any operand is floating-point, the result is floating-point (`5.0/2` → 2.5). Use explicit double() or decimal literals when fractional results are required.","In Tcl `expr` ist Division zweier Ganzzahlen ganzzahlig (`5/2` → 2); ist ein Operand Fließkomma, ist das Ergebnis Fließkomma (`5.0/2` → 2.5). Für Bruchteile double() oder Dezimal-Literale verwenden.",,,,
int / double,Math-Funktionen / Math Functions,"Convert to integer/floating-point (e.g., `expr {int(4.7)}` = 4).",In Ganzzahl/Gleitkommazahl konvertieren (z.B. `expr {int(4.7)}` = 4).,,,,
min / max,Math-Funktionen / Math Functions,"Return minimum/maximum of arguments (Tcl 8.5+; e.g., `expr {min(5, 3, 8)}` = 3).","Minimum/Maximum der Argumente zurückgeben (Tcl 8.5+; z.B. `expr {min(5, 3, 8)}` = 3).",,,,
pow,Math-Funktionen / Math Functions,"Power function; equivalent to ** operator (e.g., `pow(2, 8)` = 256).","Potenz-Funktion; äquivalent zu **-Operator (z.B. `pow(2, 8)` = 256).",,,,
rand / srand,Math-Funktionen / Math Functions,Generate random float 0.0-1.0; srand seeds random number generator.,Zufällige Gleitkommazahl 0.0-1.0 erzeugen; srand initialisiert Zufallszahlengenerator.,,,,
round,Math-Funktionen / Math Functions,"Round to nearest integer (e.g., `round 4.5` = 5, `round 4.4` = 4).","Auf nächste Ganzzahl runden (z.B. `round 4.5` = 5, `round 4.4` = 4).",,,,
sqrt,Math-Funktionen / Math Functions,"Square root function (e.g., `expr {sqrt(16)}` = 4.0).",Quadratwurzel-Funktion (z.B. `expr {sqrt(16)}` = 4.0).,,,,
wide / entier,Math-Funktionen / Math Functions,Convert to wide integer (64-bit) / exact integer representation.,In Wide-Integer (64-Bit) / exakte Ganzzahl-Darstellung konvertieren.,,,,
Accelerator,Menü-Begriffe / Menu Terms,"Keyboard shortcut text displayed next to menu item (for display only, binding must be done separately).","Tastaturkürzel-Text, der neben Menüelement angezeigt wird (nur zur Anzeige, Binding muss separat erfolgen).",,,,
Cascade,Menü-Begriffe / Menu Terms,Menu entry that opens a submenu when selected.,"Menüeintrag, der ein Untermenü öffnet, wenn er ausgewählt wird.",,,,
Checkbutton Entry,Menü-Begriffe / Menu Terms,Menu item with checkbox that toggles on/off state.,"Menüelement mit Checkbox, das einen Ein/Aus-Zustand umschaltet.",,,,
Command Entry,Menü-Begriffe / Menu Terms,Menu item that executes a command when selected.,"Menüelement, das einen Befehl ausführt, wenn es ausgewählt wird.",,,,
Invoke,Menü-Begriffe / Menu Terms,Programmatically activate a menu entry as if user selected it.,"Einen Menüeintrag programmatisch aktivieren, als ob Benutzer ihn ausgewählt hätte.",,,,
Menubar,Menü-Begriffe / Menu Terms,Horizontal menu typically at top of window containing menu items.,"Horizontales Menü typischerweise oben im Fenster, das Menüelemente enthält.",,,,
Menubutton,Menü-Begriffe / Menu Terms,Button widget that displays a menu when clicked.,"Button-Widget, das ein Menü anzeigt, wenn es geklickt wird.",,,,
Popup Menu,Menü-Begriffe / Menu Terms,"Context menu that appears at mouse position, typically on right-click.","Kontextmenü, das an Mausposition erscheint, typischerweise bei Rechtsklick.",,,,
Post,Menü-Begriffe / Menu Terms,Display a menu at specific screen coordinates.,Ein Menü an bestimmten Bildschirmkoordinaten anzeigen.,,,,
Radiobutton Entry,Menü-Begriffe / Menu Terms,Menu item that's part of mutually exclusive group selection.,"Menüelement, das Teil einer sich gegenseitig ausschließenden Gruppenauswahl ist.",,,,
Separator,Menü-Begriffe / Menu Terms,Horizontal line dividing menu sections for visual organization.,"Horizontale Linie, die Menüabschnitte zur visuellen Organisation trennt.",,,,
Tearoff,Menü-Begriffe / Menu Terms,Feature allowing menu to be detached into separate window; enabled/disabled with `-tearoff` option.,"Funktion, die es erlaubt, Menü in separates Fenster abzutrennen; aktiviert/deaktiviert mit `-tearoff`-Option.",,,,
Underline,Menü-Begriffe / Menu Terms,Character position in menu label to underline for keyboard mnemonics.,Zeichenposition im Menü-Label zum Unterstreichen für Tastatur-Mnemonics.,,,,
Unpost,Menü-Begriffe / Menu Terms,Remove a posted menu from display.,Ein angezeigtes Menü von der Anzeige entfernen.,,,,
Lexer (Lexical Analyzer),NLP und Text-Verarbeitung / NLP and Text Processing,Program converting character sequence into token sequence; first phase of parsing; implementable in Tcl with regexp and string commands.,"Programm, das Zeichen-Sequenz in Token-Sequenz konvertiert; erste Phase des Parsings; implementierbar in Tcl mit regexp und String-Befehlen.",,,,
NLP (Natural Language Processing),NLP und Text-Verarbeitung / NLP and Text Processing,"Computational processing of human language; Tcl used for text manipulation, tokenization, parsing in NLP pipelines; tcllib provides text processing tools.","Rechnerische Verarbeitung menschlicher Sprache; Tcl verwendet für Text-Manipulation, Tokenisierung, Parsing in NLP-Pipelines; tcllib bietet Text-Verarbeitungs-Tools.",,,,
Parser,NLP und Text-Verarbeitung / NLP and Text Processing,Program analyzing text structure according to grammar rules; Tcl suitable for writing parsers using string operations and regular expressions.,"Programm, das Text-Struktur nach Grammatik-Regeln analysiert; Tcl geeignet zum Schreiben von Parsern mit String-Operationen und regulären Ausdrücken.",,,,
Regular Expression (NLP Context),NLP und Text-Verarbeitung / NLP and Text Processing,Pattern matching tool essential for NLP tasks; Tcl's `regexp` and `regsub` commands powerful for text extraction and transformation.,Mustererkennungs-Tool essentiell für NLP-Aufgaben; Tcls `regexp`- und `regsub`-Befehle mächtig für Text-Extraktion und -Transformation.,,,,
String Matching,NLP und Text-Verarbeitung / NLP and Text Processing,"Finding patterns in text; fundamental NLP operation; Tcl provides `string match`, `regexp`, `string first/last` for various matching needs.","Finden von Mustern in Text; fundamentale NLP-Operation; Tcl bietet `string match`, `regexp`, `string first/last` für verschiedene Matching-Bedürfnisse.",,,,
Text Corpus,NLP und Text-Verarbeitung / NLP and Text Processing,Large collection of text used for linguistic analysis; Tcl can process text corpora with file I/O and string operations.,Große Sammlung von Text für linguistische Analyse; Tcl kann Text-Korpora mit File-I/O und String-Operationen verarbeiten.,,,,
Token,NLP und Text-Verarbeitung / NLP and Text Processing,"Individual meaningful unit from text (word, punctuation, etc.); result of tokenization process.","Einzelne bedeutungsvolle Einheit aus Text (Wort, Interpunktion, etc.); Ergebnis des Tokenisierungs-Prozesses.",,,,
Tokenization,NLP und Text-Verarbeitung / NLP and Text Processing,"Process of splitting text into words, phrases, or symbols (tokens); in Tcl: `split`, `regexp`, or custom procedures.","Prozess des Aufteilens von Text in Wörter, Phrasen oder Symbole (Token); in Tcl: `split`, `regexp` oder eigene Prozeduren.",,,,
namespace children,Namespaces,List all child namespaces of a namespace. Syntax: namespace children ?namespace? ?pattern?. Without arguments: children of the current namespace. With pattern: glob-filter. Used to discover module sub-namespaces or to walk the namespace tree.,Listet alle Kind-Namespaces eines Namespace auf. Syntax: namespace children ?namespace? ?pattern?. Ohne Argumente: Kinder des aktuellen Namespace. Mit Pattern: Glob-Filter. Verwendet um Modul-Sub-Namespaces zu entdecken oder den Namespace-Baum zu durchwandern.,,,,
namespace current,Namespaces,Return the fully qualified name of the namespace currently in effect. Syntax: namespace current. At top level: returns `::`. Inside a namespace eval block: returns `::namespace_name`. Useful in metaprogramming and in procs that need to know their own home.,Liefert den voll qualifizierten Namen des aktuell gueltigen Namespace. Syntax: namespace current. Auf Top-Level: liefert `::`. Innerhalb namespace eval: liefert `::namespace_name`. Nuetzlich in Metaprogrammierung und in Procs die ihren eigenen Heimat-Namespace kennen muessen.,,,,
namespace exists,Namespaces,Test whether a namespace exists. Syntax: namespace exists name. Returns 1 or 0. Used to guard against creating duplicate namespaces or to check for optional modules.,Prueft ob ein Namespace existiert. Syntax: namespace exists name. Liefert 1 oder 0. Verwendet um Duplikat-Namespaces zu vermeiden oder optionale Module zu pruefen.,,,,
namespace export,Namespaces,Declare which commands of the current namespace are visible to namespace import. Syntax: namespace export ?-clear? ?pattern...?. Patterns match command names within this namespace. Without -clear: adds to existing exports. With -clear: replaces. Without arguments: lists current exports. By default nothing is exported.,Deklariert welche Kommandos des aktuellen Namespace fuer namespace import sichtbar sind. Syntax: namespace export ?-clear? ?pattern...?. Patterns passen auf Kommandonamen innerhalb dieses Namespace. Ohne -clear: ergaenzt; mit -clear: ersetzt. Ohne Argumente: listet aktuelle Exports. Standard: nichts exportiert.,,,,
namespace forget,Namespaces,"Remove imports brought in by `namespace import`. Syntax: namespace forget ?pattern...?. Patterns are glob, e.g. `::mylib::*`. Counterpart to namespace import. Without arguments: no-op (does not remove all imports).","Entfernt Imports die per `namespace import` hereingeholt wurden. Syntax: namespace forget ?pattern...?. Patterns sind Glob, z.B. `::mylib::*`. Gegenstueck zu namespace import. Ohne Argumente: No-op (entfernt nicht alle Imports).",,,,
namespace import,Namespaces,"Import commands from another namespace into the current one. Syntax: namespace import ?-force? ?pattern...?. Patterns are glob, e.g. ::mylib::*. After import the commands are callable by their short name. -force overrides existing names. Counterpart: namespace forget.","Importiert Kommandos aus einem anderen Namespace in den aktuellen. Syntax: namespace import ?-force? ?pattern...?. Patterns sind Glob, z.B. ::mylib::*. Nach Import sind die Kommandos per Kurzname aufrufbar. -force ueberschreibt existierende Namen. Gegenstueck: namespace forget.",,,,
namespace inscope,Namespaces,"Execute a script in a specified namespace. Syntax: namespace inscope ns script ?args...?. Differs from `namespace eval` in argument handling: ns is treated as a list, args are appended to script before execution. Mostly internal; namespace eval is preferred for ordinary use.","Fuehrt ein Skript in einem angegebenen Namespace aus. Syntax: namespace inscope ns script ?args...?. Unterscheidet sich von `namespace eval` in der Argumentbehandlung: ns wird als Liste behandelt, args werden vor der Ausfuehrung an das Skript angehaengt. Meist intern; namespace eval ist bei normaler Nutzung bevorzugt.",,,,
namespace origin,Namespaces,"For an imported command, return the original (un-imported) fully qualified name. Syntax: namespace origin command. Returns the name itself if the command is not imported. Used to find the source definition of an imported alias.",Liefert fuer ein importiertes Kommando den originalen (nicht importierten) voll qualifizierten Namen. Syntax: namespace origin command. Liefert den Namen selbst wenn das Kommando nicht importiert ist. Verwendet um die Original-Definition eines importierten Alias zu finden.,,,,
namespace parent,Namespaces,"Return the parent namespace of a given namespace. Syntax: namespace parent ?namespace?. Without argument: parent of the current namespace. Top level (`::`) has no parent (returns """"). Used in introspection.","Liefert den Eltern-Namespace eines gegebenen Namespace. Syntax: namespace parent ?namespace?. Ohne Argument: Elternteil des aktuellen Namespace. Top-Level (`::`) hat keinen Elternteil (liefert """"). Verwendet bei Introspektion.",,,,
namespace path,Namespaces,Get or set the search path of a namespace for unqualified command lookup. Syntax: namespace path ?{ns1 ns2 ...}?. Without arguments: returns the current path. With list: sets the path. Allows commands defined in another namespace to be called by short name within this namespace.,Liefert oder setzt den Suchpfad eines Namespace fuer unqualifizierten Kommando-Lookup. Syntax: namespace path ?{ns1 ns2 ...}?. Ohne Argumente: liefert den aktuellen Pfad. Mit Liste: setzt den Pfad. Ermoeglicht in anderen Namespaces definierte Kommandos hier per Kurzname aufzurufen.,,,,
namespace qualifiers,Namespaces,Return everything except the last component of a fully qualified name. Syntax: namespace qualifiers name. Example: `namespace qualifiers ::foo::bar::baz` returns `::foo::bar`. Counterpart to namespace tail. Useful to derive the parent namespace of a command.,Liefert alles ausser der letzten Komponente eines voll qualifizierten Namens. Syntax: namespace qualifiers name. Beispiel: `namespace qualifiers ::foo::bar::baz` ergibt `::foo::bar`. Gegenstueck zu namespace tail. Hilfreich um den Eltern-Namespace eines Kommandos zu ermitteln.,,,,
namespace tail,Namespaces,Return the last component of a fully qualified name. Syntax: namespace tail name. Example: `namespace tail ::foo::bar::baz` returns `baz`. Common in metaprogramming when you need the bare command name independent of its namespace.,Liefert die letzte Komponente eines voll qualifizierten Namens. Syntax: namespace tail name. Beispiel: `namespace tail ::foo::bar::baz` ergibt `baz`. Verbreitet in Metaprogrammierung wenn man den nackten Kommandonamen unabhaengig vom Namespace braucht.,,,,
namespace which,Namespaces,"Resolve a command name to its fully qualified path within the namespace search hierarchy. Syntax: namespace which ?-command|-variable? name. Without -command/-variable: defaults to -command. Returns """" if the name does not resolve. Used to debug namespace resolution and to detect command shadowing.","Loest einen Kommandonamen zu seinem voll qualifizierten Pfad innerhalb der Namespace-Suchhierarchie auf. Syntax: namespace which ?-command|-variable? name. Ohne -command/-variable: Standard ist -command. Liefert """" wenn der Name nicht aufloest. Verwendet zum Debuggen der Namespace-Aufloesung und zum Erkennen von Kommando-Shadowing.",,,,
API Call,Netzwerk-Tools / Network Tools,"Request to web service/API; typically HTTP-based (REST, SOAP); sends data, receives response; Tcl tools: http package, rest package, curl; JSON/XML common formats; authentication often required (tokens, keys).","Anfrage an Web-Service/API; typischerweise HTTP-basiert (REST, SOAP); sendet Daten, empfängt Antwort; Tcl-Tools: http-Paket, rest-Paket, curl; JSON/XML übliche Formate; Authentifizierung oft erforderlich (Tokens, Keys).",,,,
HTTP Request,Netzwerk-Tools / Network Tools,"Message sent to web server; methods: GET (retrieve), POST (submit), PUT (update), DELETE (remove); Tcl: http package, curl, or sockets; includes headers, optional body; response has status code, headers, body.","Nachricht an Web-Server gesendet; Methoden: GET (abrufen), POST (einreichen), PUT (aktualisieren), DELETE (entfernen); Tcl: http-Paket, curl oder Sockets; enthält Header, optionalen Body; Antwort hat Status-Code, Header, Body.",,,,
curl,Netzwerk-Tools / Network Tools,"Command-line tool for data transfer; supports HTTP, HTTPS, FTP, many protocols; download files, test APIs; Tcl call: `exec curl -o file.html https://example.com`; alternative to http package for complex requests; widely used for REST APIs.","Kommandozeilen-Tool für Datenübertragung; unterstützt HTTP, HTTPS, FTP, viele Protokolle; Dateien herunterladen, APIs testen; Tcl-Aufruf: `exec curl -o file.html https://example.com`; Alternative zu http-Paket für komplexe Anfragen; weit verbreitet für REST-APIs.",,,,
wget,Netzwerk-Tools / Network Tools,"Command-line web downloader; recursive downloading, resume broken downloads; simpler than curl for basic tasks; Tcl call: `exec wget https://example.com/file.zip`; Unix/Linux standard; good for scripted downloads, mirror websites.","Kommandozeilen-Web-Downloader; rekursives Herunterladen, unterbrochene Downloads fortsetzen; einfacher als curl für Basis-Aufgaben; Tcl-Aufruf: `exec wget https://example.com/file.zip`; Unix/Linux-Standard; gut für geskriptete Downloads, Websites spiegeln.",,,,
Encapsulation,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"OO principle of bundling data and methods, hiding internal implementation.","OO-Prinzip der Bündelung von Daten und Methoden, Verbergen interner Implementierung.",,,,
Inheritance,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,OO mechanism where class derives properties and methods from parent class.,"OO-Mechanismus, bei dem Klasse Eigenschaften und Methoden von Elternklasse ableitet.",,,,
Polymorphism,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,OO principle allowing objects of different classes to be treated uniformly through common interface.,"OO-Prinzip, das Objekte verschiedener Klassen ermöglicht, einheitlich durch gemeinsame Schnittstelle behandelt zu werden.",,,,
TclOO private method (callback limitation),Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Methods whose names are not exported (often written with a leading `_` by convention) are not valid as callback command prefixes; only exported (public) methods are safe to pass to `-command` and similar.,"Nicht exportierte Methoden (üblich mit führendem `_`) eignen sich nicht als Callback-Befehl; an `-command` u. Ä. nur exportierte, öffentliche Methoden übergeben.",,,,
TclOO variable name collision,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"If multiple classes in one object’s hierarchy (superclass, mixin, subclass) each `variable`-declare the same simple name, they refer to the same storage in the object namespace—unexpected sharing; use distinct names (e.g. with a class prefix) for “private” data.","Deklarieren mehrere Klassen derselben Hierarchie (Superclass, Mixin, Subklasse) dieselbe einfache Variable, teilen sie sich einen Speicher im Objekt-Namespace—unerwartetes Teilen; für „private“ Daten eindeutige Namen (z. B. Klassenpräfix) verwenden.",,,,
TclOO variable visibility (existence vs. visibility),Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"In TclOO, instance variables live in a single per-object namespace; they exist for the whole object, but the `variable` declaration only makes them directly visible in the class that declared them—subclasses must redeclare parent variables to use the same storage with unqualified names. See the Tcl wiki “Variables in TclOO”.","In TclOO liegen Instanzvariablen in einem gemeinsamen Objekt-Namespace; sie existieren für das ganze Objekt, sind aber mit unqualifiziertem Namen nur in der deklarierenden Klasse sichtbar—Unterklassen müssen Eltern-Variablen erneut deklarieren, um denselben Speicher zu nutzen. Vgl. Tcl-Wiki „Variables in TclOO“.",,,,
classmethod,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Define method on class itself rather than instances (static method).,Methode auf Klasse selbst definieren statt auf Instanzen (statische Methode).,,,,
constructor,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Special method called when object is created; initializes object state (e.g., `constructor {args} {...}`).","Spezielle Methode, die beim Erstellen des Objekts aufgerufen wird; initialisiert Objektzustand (z.B. `constructor {args} {...}`).",,,,
create,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Instantiate object from class (e.g., `set obj [MyClass new]` or `MyClass create obj`).",Objekt aus Klasse instanziieren (z.B. `set obj [MyClass new]` oder `MyClass create obj`).,,,,
destroy,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Explicitly destroy object and call its destructor (e.g., `$obj destroy`).",Objekt explizit zerstören und seinen Destruktor aufrufen (z.B. `$obj destroy`).,,,,
destructor,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Special method called when object is destroyed; performs cleanup (e.g., `destructor {...}`).","Spezielle Methode, die beim Zerstören des Objekts aufgerufen wird; führt Aufräumarbeiten aus (z.B. `destructor {...}`).",,,,
export / unexport,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Control method visibility; exported methods are public, unexported are private.","Methodensichtbarkeit steuern; exportierte Methoden sind öffentlich, nicht exportierte sind privat.",,,,
filter,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Method called before/after other methods for cross-cutting concerns like logging.,"Methode, die vor/nach anderen Methoden aufgerufen wird für querschnittliche Belange wie Logging.",,,,
forward,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Delegate method calls to another object or command.,Methodenaufrufe an anderes Objekt oder Befehl delegieren.,,,,
info class,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Query information about classes and objects (e.g., `info class instances MyClass`).",Informationen über Klassen und Objekte abfragen (z.B. `info class instances MyClass`).,,,,
method,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Define instance method in class (e.g., `method getName {} {return $name}`).",Instanzmethode in Klasse definieren (z.B. `method getName {} {return $name}`).,,,,
mixin,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Add class as mixin to provide additional methods without inheritance.,"Klasse als Mixin hinzufügen, um zusätzliche Methoden ohne Vererbung bereitzustellen.",,,,
my,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Shorthand for invoking methods on current object (e.g., `my methodName` instead of `$self methodName`).",Kurzform für Aufruf von Methoden auf aktuellem Objekt (z.B. `my methodName` statt `$self methodName`).,,,,
new,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Create anonymous object instance with auto-generated name (e.g., `[MyClass new]`).",Anonyme Objektinstanz mit automatisch generiertem Namen erstellen (z.B. `[MyClass new]`).,,,,
next,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Call next method in method chain (superclass or mixin); enables method chaining.,Nächste Methode in Methodenkette aufrufen (Superclass oder Mixin); ermöglicht Method-Chaining.,,,,
oo::abstract,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Tcl 9 class type: a class that cannot be instantiated directly with `new`/`create`, but can be subclassed. Syntax: oo::abstract create Base { ... }. Used to define an interface or partial implementation that requires concrete subclasses. Subclasses become instantiable as usual.","Tcl-9-Klassentyp: eine Klasse die nicht direkt per `new`/`create` instanziiert werden kann, aber abgeleitet werden darf. Syntax: oo::abstract create Base { ... }. Verwendet fuer Interfaces oder Teil-Implementationen die konkrete Unterklassen erfordern. Unterklassen sind normal instanziierbar.",,,,
oo::class,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Create new class definition in TclOO (e.g., `oo::class create MyClass {...}`).",Neue Klassendefinition in TclOO erstellen (z.B. `oo::class create MyClass {...}`).,,,,
oo::define filter,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Method filters in TclOO — wrap method calls with pre/post logic, similar to AOP advice. Syntax: oo::define ClassName filter methodName ?methodName...?. Filter methods receive the original method invocation; can call `next` to proceed. Common uses: logging, authorization checks, caching.","Method-Filter in TclOO — umhuellt Method-Aufrufe mit Pre/Post-Logik, aehnlich wie AOP-Advice. Syntax: oo::define ClassName filter methodName ?methodName...?. Filter-Methoden erhalten den Original-Aufruf; koennen `next` aufrufen um weiterzugehen. Anwendung: Logging, Berechtigungs-Pruefung, Caching.",,,,
oo::mixinto,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Add or remove a mixin on a specific object instance (per-object mixin), instead of the class. Syntax: oo::mixinto $obj ?className...?. Without arguments: returns the current per-object mixins. With class names: replaces the mixin list for that one object only. Useful for instance-specific behavior without affecting the class.","Fuegt einem konkreten Objekt einen Mixin hinzu oder entfernt ihn (instanz-spezifischer Mixin), statt fuer die Klasse. Syntax: oo::mixinto $obj ?className...?. Ohne Argumente: liefert die aktuellen Per-Objekt-Mixins. Mit Klassennamen: ersetzt die Mixin-Liste fuer dieses eine Objekt. Nuetzlich fuer instanz-spezifisches Verhalten ohne die Klasse zu aendern.",,,,
oo::object,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,Base object type in TclOO; all objects inherit from oo::object.,Basis-Objekttyp in TclOO; alle Objekte erben von oo::object.,,,,
self,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Reference to current object instance within methods (e.g., `$self methodName`).",Referenz auf aktuelle Objektinstanz innerhalb von Methoden (z.B. `$self methodName`).,,,,
superclass,Object-Oriented Tcl (TclOO) / Objektorientiertes Tcl,"Specify parent class for inheritance (e.g., `superclass ParentClass`).",Elternklasse für Vererbung angeben (z.B. `superclass ParentClass`).,,,,
